ignore;_value;gdzie;kto;location;source;timestamp;target
17;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:08:45.000003600;bathroom_g
18;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:09:46.000003600;bathroom_g
19;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:10:42.000003600;bathroom_g
20;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:11:40.000003600;bathroom_g
21;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:12:41.000003600;bathroom_g
22;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:13:41.000003600;bathroom_g
23;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:14:41.000003600;bathroom_g
24;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:15:44.000003600;bathroom_g
25;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:16:42.000003600;bathroom_g
26;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:17:40.000003600;bathroom_g
27;-89.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:18:41.000003600;bathroom_g
28;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:19:40.000003600;bathroom_g
29;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 17:20:48.000003600;bathroom_g
0;-80.0;forum;figa;kabaty;esp32cam-1;2021-01-03 16:51:45.000003600;bathroom_g
1;-92.0;forum;figa;kabaty;esp32cam-1;2021-01-03 16:52:44.000003600;bathroom_g
2;-86.0;forum;figa;kabaty;esp32cam-1;2021-01-03 16:53:44.000003600;bathroom_g
3;-86.0;forum;figa;kabaty;esp32cam-1;2021-01-03 16:54:45.000003600;bathroom_g
4;-86.0;forum;figa;kabaty;esp32cam-1;2021-01-03 16:55:51.000003600;bathroom_g
5;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 16:56:52.000003600;bathroom_g
